frame_idx,timestamp_ms,bone_name,start_joint,end_joint,confidence,human_delta_deg,applied_angle_deg,target_x,target_y,target_z
105,3500.0,leg_joint_L_1,left_hip,left_knee,0.577,43.9352,43.9352,-0.74909,-0.59219,-0.29694
105,3500.0,leg_joint_L_2,left_knee,left_ankle,0.577,103.9832,103.9832,-0.53228,-0.76009,-0.37275
105,3500.0,leg_joint_R_1,right_hip,right_knee,0.5779,68.2922,68.2922,-0.56226,-0.78955,-0.2459
105,3500.0,leg_joint_R_2,right_knee,right_ankle,0.5779,108.5174,108.5174,-0.5093,-0.79696,-0.32477
105,3500.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9918,100.369,100.369,0.71349,0.5539,0.4291
110,3666.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3326,148.1816,148.1816,-0.38889,-0.9151,0.10661
110,3666.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1735,79.7317,79.7317,-0.8084,0.00487,-0.58862
110,3666.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4519,114.004,114.004,-0.60367,-0.68444,0.4088
110,3666.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.271,31.3955,31.3955,-0.30182,0.93678,0.17706
110,3666.0,leg_joint_L_1,left_hip,left_knee,0.5539,44.9773,44.9773,-0.73719,-0.6341,-0.23339
110,3666.0,leg_joint_L_2,left_knee,left_ankle,0.5539,110.3858,110.3858,-0.48271,-0.82667,-0.28916
110,3666.0,leg_joint_R_1,right_hip,right_knee,0.5363,67.1832,67.1832,-0.53759,-0.80605,-0.24756
110,3666.0,leg_joint_R_2,right_knee,right_ankle,0.5363,111.5159,111.5159,-0.49091,-0.82379,-0.28353
110,3666.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9935,104.2791,104.2791,0.60361,0.68036,0.41565
115,3833.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3532,131.2146,131.2146,-0.04714,-0.97487,0.21774
115,3833.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1928,79.7317,79.7317,-0.8084,0.00487,-0.58862
115,3833.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4243,125.2672,125.2672,-0.38662,-0.84151,0.37734
115,3833.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.221,31.3955,31.3955,-0.30182,0.93678,0.17706
115,3833.0,leg_joint_L_1,left_hip,left_knee,0.4521,45.5455,45.5455,-0.71855,-0.67011,-0.18609
115,3833.0,leg_joint_L_2,left_knee,left_ankle,0.4521,117.6928,117.6928,-0.37479,-0.90459,-0.20308
115,3833.0,leg_joint_R_1,right_hip,right_knee,0.4272,66.8026,66.8026,-0.5323,-0.80834,-0.25147
115,3833.0,leg_joint_R_2,right_knee,right_ankle,0.4272,117.3603,117.3603,-0.45313,-0.86874,-0.19991
115,3833.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9951,106.6839,106.6839,0.4753,0.77913,0.4087
120,4000.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3532,131.2146,131.2146,-0.04714,-0.97487,0.21774
120,4000.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1928,79.7317,79.7317,-0.8084,0.00487,-0.58862
120,4000.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4243,125.2672,125.2672,-0.38662,-0.84151,0.37734
120,4000.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.221,31.3955,31.3955,-0.30182,0.93678,0.17706
120,4000.0,leg_joint_L_1,left_hip,left_knee,0.4521,45.5455,45.5455,-0.71855,-0.67011,-0.18609
120,4000.0,leg_joint_L_2,left_knee,left_ankle,0.4521,117.6928,117.6928,-0.37479,-0.90459,-0.20308
120,4000.0,leg_joint_R_1,right_hip,right_knee,0.4272,66.8026,66.8026,-0.5323,-0.80834,-0.25147
120,4000.0,leg_joint_R_2,right_knee,right_ankle,0.4272,117.3603,117.3603,-0.45313,-0.86874,-0.19991
120,4000.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9951,106.6839,106.6839,0.4753,0.77913,0.4087
125,4166.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3532,131.2146,131.2146,-0.04714,-0.97487,0.21774
125,4166.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1928,79.7317,79.7317,-0.8084,0.00487,-0.58862
125,4166.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4243,125.2672,125.2672,-0.38662,-0.84151,0.37734
125,4166.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.221,31.3955,31.3955,-0.30182,0.93678,0.17706
125,4166.0,leg_joint_L_1,left_hip,left_knee,0.4521,45.5455,45.5455,-0.71855,-0.67011,-0.18609
125,4166.0,leg_joint_L_2,left_knee,left_ankle,0.4521,117.6928,117.6928,-0.37479,-0.90459,-0.20308
125,4166.0,leg_joint_R_1,right_hip,right_knee,0.4272,66.8026,66.8026,-0.5323,-0.80834,-0.25147
125,4166.0,leg_joint_R_2,right_knee,right_ankle,0.4272,117.3603,117.3603,-0.45313,-0.86874,-0.19991
125,4166.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9951,106.6839,106.6839,0.4753,0.77913,0.4087
130,4333.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3532,131.2146,131.2146,-0.04714,-0.97487,0.21774
130,4333.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1928,79.7317,79.7317,-0.8084,0.00487,-0.58862
